cap-diameter,cap-shape,cap-color,does-bruise-or-bleed,gill-attachment,gill-color,stem-height,stem-width,stem-color,has-ring,ring-type,habitat,season
9.65,f,n,f,no_data,w,5.77,25.13,n,t,e,d,a
11.98,s,w,t,d,y,6.66,26.67,w,f,f,d,a
1.17,x,w,f,a,w,3.75,1.76,e,f,f,d,u
3.35,x,e,f,no_data,e,4.73,6.09,e,f,f,d,a
3.56,o,y,f,f,f,0.0,0.0,f,t,f,d,a
3.44,f,p,f,a,r,5.02,6.58,r,f,f,g,u
5.88,f,u,f,a,w,4.52,8.79,w,f,f,d,a
3.03,s,w,f,d,w,3.38,7.95,w,f,f,g,u
5.24,x,g,f,d,w,5.62,10.36,n,f,f,d,w
6.12,x,g,t,s,r,6.41,14.9,n,f,f,d,a
1.19,x,y,f,f,f,3.66,5.36,y,f,f,d,a
2.72,x,g,f,d,w,3.68,8.47,w,f,f,g,a
1.13,x,w,f,a,w,3.05,1.45,n,f,f,d,u
3.38,f,p,f,e,n,5.21,3.57,w,t,e,d,a
3.47,x,l,f,s,u,5.13,6.22,w,t,e,g,u
4.75,x,y,f,a,y,6.12,8.49,o,f,f,g,u
6.41,p,n,f,no_data,k,11.1,12.66,w,t,z,d,u
4.84,x,n,f,p,n,6.46,14.54,n,f,f,d,a
0.98,p,g,f,no_data,g,3.01,1.61,w,f,f,d,u
3.96,c,y,t,x,p,5.12,12.3,w,f,f,d,a
4.69,x,n,f,x,n,8.36,9.56,n,t,no_data,g,u
12.0,f,b,f,no_data,b,5.28,20.82,w,t,f,d,a
7.62,f,o,f,s,y,9.19,11.45,o,f,f,d,a
1.71,x,n,f,no_data,k,5.38,2.83,n,f,f,g,u
3.47,o,k,f,f,f,3.9,16.6,n,f,f,d,u
6.16,x,n,f,e,p,3.91,12.1,w,t,l,w,u
3.65,x,r,f,s,n,5.29,7.0,l,t,e,m,a
8.3,x,y,f,a,o,8.15,15.83,o,t,r,d,w
6.41,x,y,f,p,y,6.63,14.18,y,t,no_data,d,u
3.84,b,p,f,e,w,5.25,3.6,w,t,e,m,u
9.48,f,b,f,no_data,b,4.91,20.81,w,t,f,d,a
9.47,p,n,t,e,p,8.97,17.18,w,t,l,l,a
5.62,x,e,f,a,g,7.19,10.15,e,t,z,d,a
8.46,s,o,t,d,o,6.14,16.95,w,f,f,d,u
2.38,x,o,f,a,y,2.77,4.85,o,f,f,h,a
2.73,s,w,f,d,w,2.88,6.54,w,f,f,g,a
5.0,x,y,f,no_data,y,8.74,7.58,y,t,z,d,u
7.55,o,n,f,no_data,w,4.03,21.29,n,f,f,d,a
5.04,p,w,f,e,k,4.74,11.41,w,t,e,m,a
4.03,f,n,f,x,p,6.59,4.94,n,f,f,g,u
1.74,b,n,f,no_data,n,6.19,2.78,n,f,f,d,s
1.07,x,w,f,a,w,2.79,1.55,e,f,f,d,a
2.69,x,n,f,s,n,5.3,7.22,w,t,z,d,a
2.6,s,w,f,a,w,3.2,2.32,w,f,f,g,a
5.37,x,e,f,e,g,7.43,8.22,o,f,f,m,a
1.6,x,n,f,d,n,1.79,2.37,n,f,f,h,u
10.81,x,n,f,e,w,10.26,13.98,w,t,e,d,a
5.22,x,n,t,d,n,6.77,9.02,e,f,f,d,a
8.24,s,w,f,d,w,3.53,9.75,w,f,f,g,a
5.92,s,o,f,d,y,3.82,6.7,y,f,f,h,u
5.23,f,u,f,a,w,5.25,7.45,w,f,f,d,a
8.17,s,p,t,d,o,5.1,16.13,w,f,f,d,a
11.58,s,g,f,d,w,8.08,25.07,w,f,f,d,w
7.95,s,w,f,d,w,3.51,8.87,w,f,f,d,u
5.11,s,u,f,a,w,5.14,8.33,y,f,f,d,u
4.09,f,e,f,x,y,5.62,4.93,y,f,f,l,a
10.43,x,n,f,a,w,9.16,14.29,n,t,no_data,d,w
3.95,x,e,f,no_data,e,4.34,5.93,e,f,f,d,a
3.36,x,n,f,s,p,4.0,2.97,n,f,f,g,a
9.99,f,w,f,d,y,2.41,13.21,w,f,f,d,w
15.57,s,k,f,a,y,5.91,21.11,w,f,f,d,w
3.39,f,u,f,a,w,3.83,7.48,w,f,f,d,u
8.66,s,u,f,x,n,7.27,24.13,w,f,f,d,a
4.39,x,w,f,x,n,7.89,8.82,w,t,no_data,d,a
8.09,x,w,t,no_data,g,8.91,15.92,w,t,l,d,a
3.0,b,n,f,no_data,n,6.06,2.69,w,f,f,d,a
13.56,s,w,t,d,w,6.97,27.76,w,f,f,d,u
4.22,x,n,f,no_data,n,6.58,6.92,w,f,f,d,u
8.11,x,e,f,x,w,7.2,16.97,w,f,f,d,u
4.09,x,o,f,d,b,4.97,11.54,w,f,f,g,a
0.78,b,w,f,no_data,g,2.75,1.29,w,f,f,d,s
8.07,o,e,f,f,f,2.98,22.85,n,f,f,d,u
8.5,x,n,f,e,w,6.69,13.83,w,t,p,d,a
7.32,s,e,t,d,n,6.83,9.01,e,f,f,d,a
11.97,f,r,t,d,n,6.29,17.03,n,f,f,d,u
3.03,s,w,f,a,w,2.72,2.33,w,f,f,g,u
9.57,x,n,t,e,p,8.98,17.37,w,t,p,l,a
5.9,c,y,f,no_data,r,7.18,7.13,w,f,f,d,a
1.01,x,w,f,a,w,3.37,1.68,n,f,f,d,a
3.92,x,n,f,d,o,6.1,8.03,w,f,f,d,a
3.85,b,r,f,s,g,5.35,6.87,l,t,e,d,u
6.48,f,y,f,s,y,6.56,13.81,y,f,f,d,a
