cap-diameter,cap-shape,cap-color,does-bruise-or-bleed,gill-attachment,gill-color,stem-height,stem-width,stem-color,has-ring,ring-type,habitat,season
6.8,x,p,f,s,p,4.19,8.68,p,f,f,d,w
1.58,o,n,f,no_data,n,4.14,1.44,n,f,f,d,s
4.05,x,p,f,x,w,5.36,6.7,w,f,f,d,a
1.63,c,n,f,a,w,5.52,1.54,g,f,f,d,a
2.04,x,b,f,no_data,w,7.31,4.96,w,f,f,d,w
1.86,x,y,f,d,n,2.11,2.44,n,f,f,h,a
2.49,x,u,f,no_data,w,5.63,4.36,w,f,f,d,u
3.28,x,y,f,no_data,r,7.7,7.1,y,t,z,d,a
3.96,b,n,f,x,p,6.0,4.68,n,f,f,g,u
2.99,x,p,f,a,e,4.13,6.48,o,f,f,m,w
6.7,f,y,f,x,n,6.04,10.74,w,f,f,d,u
6.98,f,o,f,s,n,9.3,12.52,n,f,f,d,a
5.79,c,n,f,e,w,11.61,12.45,w,f,f,d,u
1.05,c,e,t,a,w,5.13,0.97,n,f,f,d,u
8.49,x,r,f,no_data,w,10.51,13.57,w,t,p,d,u
3.65,x,n,f,no_data,k,5.35,5.7,w,f,f,d,u
13.4,s,n,t,d,w,5.47,28.64,n,f,f,d,a
3.21,s,u,f,a,u,5.05,4.95,u,f,f,d,u
9.13,s,r,t,d,o,4.88,12.11,w,t,f,d,a
5.79,s,o,f,d,o,5.64,13.09,w,f,f,m,a
15.02,f,w,t,d,n,6.5,29.18,w,f,f,d,a
2.12,b,o,f,no_data,n,5.19,2.65,n,f,f,d,u
2.92,x,n,f,s,p,3.9,3.05,n,f,f,g,u
9.28,s,g,t,d,w,4.72,13.55,n,f,f,d,u
15.81,s,n,f,d,w,8.94,25.09,w,f,f,d,w
7.93,x,y,t,x,y,8.02,16.65,w,f,f,d,a
5.49,s,n,f,x,y,4.5,14.13,y,f,f,d,a
6.99,x,n,f,s,n,5.72,7.97,n,f,f,d,a
5.99,s,e,t,d,w,7.01,9.8,e,f,f,d,a
8.55,s,p,t,d,p,7.46,14.28,p,t,f,d,a
1.49,x,n,f,no_data,n,3.25,1.44,n,f,f,d,a
2.28,b,n,f,a,g,5.34,2.15,n,f,f,d,a
3.68,x,y,f,a,o,3.42,7.91,w,f,f,d,u
11.5,x,o,f,a,y,11.77,23.97,o,t,r,d,w
2.66,s,w,f,d,p,3.46,2.45,w,f,f,g,a
7.32,s,g,t,d,g,4.75,13.66,r,f,f,d,u
