cap-diameter,cap-shape,cap-color,does-bruise-or-bleed,gill-attachment,gill-color,stem-height,stem-width,stem-color,has-ring,ring-type,habitat,season
4.18,x,n,f,p,y,4.72,9.73,y,f,f,d,a
11.64,f,n,t,no_data,w,10.51,17.89,w,t,g,d,u
7.12,o,o,f,no_data,o,1.42,15.57,n,f,f,d,a
4.13,f,g,f,a,g,5.15,2.99,g,f,f,d,a
7.75,p,n,t,e,g,10.96,18.12,w,t,l,m,a
3.04,o,w,f,no_data,w,0.0,0.0,f,f,f,d,u
9.26,x,n,f,a,n,8.03,8.98,n,t,z,d,u
5.48,x,n,f,e,w,11.67,10.67,n,f,f,d,u
3.61,b,n,f,no_data,k,6.6,2.8,w,f,f,d,u
7.41,s,r,t,d,g,4.28,11.29,n,f,f,d,a
13.22,s,n,f,s,u,9.61,22.33,u,f,f,l,a
8.59,o,n,f,no_data,y,1.75,16.47,n,f,f,d,a
1.92,c,y,f,no_data,n,7.6,2.93,y,f,f,g,u
2.73,o,k,f,f,f,2.11,11.7,n,f,f,d,a
8.85,x,g,t,x,u,9.42,20.73,u,f,f,d,a
8.7,o,n,f,f,f,4.29,25.88,n,f,f,d,s
8.54,f,y,f,f,f,5.41,16.58,y,f,f,d,a
12.97,f,r,t,d,n,6.54,15.7,n,f,f,d,a
4.21,b,n,f,x,w,5.09,3.46,y,f,f,g,a
10.96,f,n,t,no_data,w,9.58,16.22,w,t,g,d,a
3.59,o,n,f,no_data,w,0.0,0.0,f,f,f,d,u
3.61,o,w,f,f,f,5.32,26.63,w,t,f,d,u
2.29,x,b,f,no_data,w,6.16,4.61,w,f,f,d,a
7.09,s,r,t,d,w,4.67,12.97,r,f,f,d,a
3.98,x,n,f,x,n,7.75,7.45,n,t,no_data,d,u
3.98,f,n,f,x,p,5.43,4.58,g,f,f,d,u
2.67,x,w,f,a,w,3.8,2.65,w,f,f,g,a
3.98,x,n,f,x,w,7.49,6.94,n,t,no_data,g,a
1.38,f,g,f,no_data,g,5.28,2.58,w,f,f,g,u
8.49,x,g,t,x,n,9.3,18.54,n,f,f,d,a
6.86,f,e,t,d,y,5.82,8.18,e,f,f,d,a
9.34,f,r,f,no_data,w,10.84,15.1,w,t,p,d,a
5.55,x,g,t,s,r,4.93,10.98,n,f,f,d,a
5.91,s,n,f,d,w,6.09,8.11,w,f,f,d,u
12.23,s,w,t,d,p,6.21,24.82,w,f,f,d,a
0.99,b,n,f,no_data,n,5.39,2.72,n,f,f,m,u
10.42,f,e,f,a,w,9.54,15.23,n,t,no_data,d,u
7.32,f,g,f,s,u,6.78,19.49,u,f,f,d,a
1.49,f,g,f,no_data,g,4.86,2.04,w,f,f,g,w
8.46,x,n,f,e,p,6.44,9.46,n,f,f,d,u
7.34,f,y,f,a,w,6.33,17.23,w,f,f,d,u
15.54,x,n,t,d,n,5.26,24.75,g,f,f,g,u
8.54,o,y,f,no_data,o,1.52,16.6,n,f,f,d,w
6.02,x,y,f,a,w,5.47,15.27,g,f,f,d,u
9.74,x,o,f,a,o,12.09,23.12,y,t,r,d,a
5.3,s,n,t,d,b,4.78,4.89,e,f,f,d,a
3.4,b,w,f,x,w,3.62,3.08,y,f,f,g,a
